index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.024456408195219465,0.045899602820546226,-0.02144319462532676
1,-4,0.08836609443633248,0.0795345525906213,0.00883154184571118
2,-3,0.08564541759254726,0.1325431630199609,-0.04689774542741365
3,-2,0.1056910129682159,0.13149945023357693,-0.02580843726536103
15,-1,0.0,0.0,0.0
4,0,0.08025324469972303,-0.5515004496117951,0.6317536943115182
5,1,0.09468336089167109,-0.711829225259475,0.8065125861511461
6,2,0.09762538671775227,-0.5395021393157956,0.6371275260335478
7,3,0.1114442036794914,-0.5441004016406435,0.6555446053201349
8,4,0.1066668594045149,-0.49201693080596337,0.5986837902104782
9,5,0.11985234847153965,-0.45712163714338083,0.5769739856149205
10,6,0.10821168513412545,-0.4435340345179585,0.551745719652084
11,7,0.08660162592148794,-0.44191585167095054,0.5285174775924385
12,8,0.10631143267360728,-0.4209709096638363,0.5272823423374436
13,9,0.11872451171598487,-0.41749909437566823,0.5362236060916531
14,10,0.1369093438437924,-0.3883013096948069,0.5252106535385993
