index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.021068128156936226,0.00879329573353921,0.012274832423397017
1,-4,0.032381218298657276,0.008060404084788223,0.02432081421386905
2,-3,0.04045334991122619,0.05720626251701591,-0.01675291260578972
3,-2,0.05399705616069596,0.0496100333161369,0.004387022844559059
15,-1,0.0,0.0,0.0
4,0,-0.015084386757811041,-0.6478500713435743,0.6327656845857632
5,1,0.010663473180245846,-0.6887327110036984,0.6993961841839442
6,2,0.013120174617817608,-0.4174177092706996,0.4305378838885172
7,3,0.01816279033363777,-0.4121348574436576,0.43029764777729534
8,4,0.033193157291885655,-0.373993407832484,0.4071865651243697
9,5,0.044007218182678665,-0.3477738213808358,0.39178103956351445
10,6,0.042935211599544054,-0.3214290216767158,0.36436423327625983
11,7,0.004819742777480944,-0.3250810019906735,0.32990074476815445
12,8,-0.005943369018158133,-0.3114466432930901,0.30550327427493196
13,9,0.04001860830316776,-0.3156429731906537,0.3556615814938215
14,10,0.0760497490391232,-0.28579393999730907,0.36184368903643227
