index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.02398572884046078,-0.020998126856587848,0.04498385569704863
1,-4,0.04285171482338593,-0.0006662441556217161,0.04351795897900764
2,-3,0.043794478767498236,0.006449736105577895,0.03734474266192034
3,-2,0.0418871279276927,0.01615460380099878,0.025732524126693915
15,-1,0.0,0.0,0.0
4,0,0.03687687916881272,-0.16990597952145362,0.20678285869026633
5,1,0.0368532234045257,-0.4458935103362817,0.4827467337408074
6,2,0.03539332803860821,-0.3071531167357487,0.3425464447743569
7,3,0.04308968264016238,-0.2937047718409106,0.336794454481073
8,4,0.028885403240116413,-0.2644429853528167,0.2933283885929331
9,5,0.03017652829433804,-0.2509882675780399,0.2811647958723779
10,6,0.019862210087911968,-0.2324413881015585,0.25230359818947046
11,7,0.009691396798107654,-0.23825839173121177,0.24794978852931943
12,8,0.021511877937634764,-0.21989110875522155,0.24140298669285631
13,9,0.020107609258150604,-0.21388943321991452,0.23399704247806513
14,10,0.02625348704494026,-0.20112229824155417,0.22737578528649444
