index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.09668313166741507,-0.08122729495598716,0.17791042662340223
1,-4,0.09083255802060201,-0.07116999332174641,0.16200255134234842
2,-3,0.15042916777958304,-0.037276848226206825,0.18770601600578987
3,-2,0.16519432784077856,-0.10110890632432147,0.26630323416510004
15,-1,0.0,0.0,0.0
4,0,0.11881336056639795,-0.42312110216331295,0.5419344627297109
5,1,0.1274793904901975,-0.6584484496482698,0.7859278401384673
6,2,0.11926671048495413,-0.549605207073783,0.6688719175587372
7,3,0.13273013403499465,-0.541592360048541,0.6743224940835357
8,4,0.1479639503958037,-0.5193122905989341,0.6672762409947378
9,5,0.13388171632982876,-0.521736988894687,0.6556187052245157
10,6,0.1325728447768705,-0.551282572006265,0.6838554167831354
11,7,0.11777135220315543,-0.4948734036917505,0.612644755894906
12,8,0.09981895268049873,-0.49073605707668094,0.5905550097571797
13,9,0.13704301998914828,-0.46986984227263145,0.6069128622617798
14,10,0.11286703736220856,-0.43311629201430973,0.5459833293765183
