index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.01953034014754116,0.03334536697236216,-0.013815026824820997
1,-4,0.08196641940005063,0.060929785663881526,0.021036633736169104
2,-3,0.09669062224105567,0.09003031552323826,0.0066603067178174075
3,-2,0.0953892141751602,0.0754144673535374,0.0199747468216228
15,-1,0.0,0.0,0.0
4,0,0.008096087412888552,-0.5718191421637825,0.5799152295766711
5,1,-0.030487566614683256,-0.759620525867502,0.7291329592528187
6,2,-0.03751611743738431,-0.6085299557449086,0.5710138383075243
7,3,-0.0629379327275508,-0.6008868869980816,0.5379489542705308
8,4,-0.10269659000524178,-0.5937726470434866,0.49107605703824486
9,5,-0.060105753426271495,-0.5568844513188148,0.4967786978925433
10,6,-0.1202478949679136,-0.5236890072585179,0.40344111229060425
11,7,-0.1672707917989568,-0.542833079077396,0.3755622872784392
12,8,-0.1842166376178116,-0.5237248958479541,0.3395082582301425
13,9,-0.1838480988813914,-0.4882539618149916,0.30440586293360017
14,10,-0.2198463594022521,-0.471480656051654,0.2516342966494019
