index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,-0.030246590664697644,0.06205890454493886,-0.0923054952096365
1,-4,0.022364995604669764,0.12864764106539855,-0.1062826454607288
2,-3,0.011931900663439188,0.16537538547819303,-0.15344348481475384
3,-2,0.017475766704441925,0.1721550829560304,-0.15467931625158848
15,-1,0.0,0.0,0.0
4,0,0.013191101236524345,-0.5203696215058888,0.5335607227424132
5,1,-0.0010496111345244406,-0.7340038102637612,0.7329541991292368
6,2,-0.009890288856924723,-0.6064264314319224,0.5965361425749978
7,3,-0.02177731969667329,-0.5915215946480862,0.5697442749514129
8,4,-0.041402615280655676,-0.5771855847803599,0.5357829694997042
9,5,-0.022414927723237638,-0.5491733324211571,0.5267584046979195
10,6,-0.056037169230924604,-0.5282931506425073,0.47225598141158265
11,7,-0.0675161975823901,-0.5397174159420948,0.4722012183597047
12,8,-0.09697209172262566,-0.5265733152682365,0.4296012235456108
13,9,-0.09674041895476919,-0.5291136552302955,0.4323732362755263
14,10,-0.12903315438571628,-0.5204265043103634,0.39139334992464714
