index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.039252958803332814,0.007862190257896433,0.03139076854543638
1,-4,0.08419158994213038,0.048533376211799234,0.03565821373033115
2,-3,0.09816527004482652,0.06419048199175334,0.03397478805307318
3,-2,0.10737278156503365,0.05336851239605625,0.054004269168977395
15,-1,0.0,0.0,0.0
4,0,0.0803166357427954,-0.5924406195049984,0.6727572552477938
5,1,0.07913270398848382,-0.7971542793004258,0.8762869832889096
6,2,0.08275485663848833,-0.6955942662894444,0.7783491229279328
7,3,0.09056642421358199,-0.6767640655114054,0.7673304897249874
8,4,0.07048441984026071,-0.6496887563897192,0.7201731762299799
9,5,0.07329126956392139,-0.6176275665522836,0.690918836116205
10,6,0.07785810280458876,-0.6023847460494884,0.6802428488540772
11,7,0.07726091664090597,-0.596459529772472,0.6737204464133779
12,8,0.08202769140331367,-0.5822618032599046,0.6642894946632183
13,9,0.0963445914753239,-0.5606957384711202,0.6570403299464441
14,10,0.07861957362088934,-0.5535759620805306,0.63219553570142
