index,event_time,percentage_coef_m,percentage_coef_w,child_penalty
0,-5,0.041339460837354465,0.012411136055827611,0.028928324781526855
1,-4,0.061796947824285006,0.03262485685507374,0.029172090969211265
2,-3,0.06615026963238141,0.062462532724127856,0.0036877369082535527
3,-2,0.07856222520749326,0.028924870383206906,0.049637354824286356
15,-1,0.0,0.0,0.0
4,0,0.01776096408142497,-0.622543851308805,0.64030481539023
5,1,0.032493983178982506,-0.7779119896613811,0.8104059728403636
6,2,0.03304091306706585,-0.6391018845785023,0.6721427976455681
7,3,0.02942181834477136,-0.6244910613658178,0.6539128797105891
8,4,0.023649865406161482,-0.5948359272101397,0.6184857926163011
9,5,0.016011835159483203,-0.5488020710850782,0.5648139062445614
10,6,0.00890802193787811,-0.5369727887094957,0.5458808106473738
11,7,-0.0047110890552422,-0.5392514983910004,0.5345404093357582
12,8,-0.030956951265117084,-0.5157403906947164,0.48478343942959934
13,9,0.008672359038537303,-0.47817748920586495,0.48684984824440225
14,10,-0.01969754092973757,-0.4870811446233968,0.4673836036936592
